distance_m,az_deg,el_deg,mode,peak_offset_az_deg,peak_offset_el_deg,peak_offset_deg,peak_db,max_sidelobe_offset_az_deg,max_sidelobe_offset_el_deg,max_sidelobe_offset_deg,max_sidelobe_db,peak_direction_pass
0.5,29.999999999999996,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-13.392546,1
1.0,-29.999999999999996,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,13.090909,22.256952,-9.004806,1
1.0,-29.999999999999996,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,18.000000,13.090909,22.256952,-6.899147,1
1.0,-29.999999999999996,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,18.000000,14.727273,23.257097,-7.086742,1
1.0,-29.999999999999996,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-16.363636,19.083115,-11.560778,1
1.0,-29.999999999999996,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,9.818182,-16.363636,19.083115,-13.442590,1
1.0,-29.999999999999996,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,9.818182,-16.363636,19.083115,-12.779311,1
1.0,-25.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,13.090909,22.256952,-9.185426,1
1.0,-25.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,18.000000,13.090909,22.256952,-6.767685,1
1.0,-25.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,18.000000,-18.000000,25.455844,-6.343415,1
1.0,-25.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,9.818182,-16.363636,19.083115,-12.618978,1
1.0,-25.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,9.818182,18.000000,20.503578,-13.819790,1
1.0,-25.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,9.818182,18.000000,20.503578,-13.478939,1
1.0,-20.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,18.000000,13.090909,22.256952,-10.083287,1
1.0,-20.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,18.000000,13.090909,22.256952,-7.976202,1
1.0,-20.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-6.055112,1
1.0,-20.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,16.363636,11.454545,19.974364,-12.432229,1
1.0,-20.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,1.636364,18.000000,18.074227,-13.814306,1
1.0,-20.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,1.636364,18.000000,18.074227,-13.979759,1
1.0,-14.999999999999998,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-10.173246,1
1.0,-14.999999999999998,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-8.614255,1
1.0,-14.999999999999998,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-6.008537,1
