distance_m,az_deg,el_deg,mode,max_sidelobe_db,dbc,dbc_improvement_db,gain_loss_db,dbc_gain_margin_db,p99_sidelobe_db,p99_dbc,p99_dbc_improvement_db,p99_dbc_gain_margin_db,p95_sidelobe_db,target_gain_delta_db,mean_amp,min_amp,max_amp
0.5,14.999999999999998,0.0,optimized_dbc_margin,-13.703863,13.703863,3.184504,2.160604,1.023900,-15.183598,15.183598,3.279000,1.118396,-16.572807,-2.160604,0.775093,0.000000,1.000000
0.5,14.999999999999998,0.0,optimized_table,-13.192386,13.192386,2.673027,6.020610,-3.347583,-15.420813,15.420813,3.516214,-2.504396,-17.439840,-6.020610,0.533253,0.000000,1.000000
0.5,14.999999999999998,0.0,optimized_aggressive,-13.452015,13.452015,2.932656,12.041206,-9.108550,-15.726981,15.726981,3.822383,-8.218823,-17.925506,-12.041206,0.343812,0.000000,1.000000
0.5,20.0,0.0,uniform,-11.564856,11.564856,0.000000,0.000000,0.000000,-12.240040,12.240040,0.000000,0.000000,-15.076280,0.000000,1.000000,1.000000,1.000000
0.5,20.0,0.0,unit_cosine,-11.191476,11.191476,-0.373379,3.618960,-3.992339,-12.177824,12.177824,-0.062216,-3.681177,-15.353785,-3.618960,0.732199,0.301815,0.998383
0.5,20.0,0.0,unit_cosine_hamming,-5.598638,5.598638,-5.966218,13.764280,-19.730497,-6.240977,6.240977,-5.999063,-19.763343,-9.444988,-13.764280,0.226984,0.024145,0.998383
0.5,20.0,0.0,optimized_dbc_margin,-13.902229,13.902229,2.337374,2.374989,-0.037616,-15.438345,15.438345,3.198305,0.823316,-16.978184,-2.374989,0.778688,0.000000,1.000000
0.5,20.0,0.0,optimized_table,-13.598397,13.598397,2.033542,6.020606,-3.987064,-15.582923,15.582923,3.342884,-2.677722,-17.987594,-6.020606,0.569626,0.000000,1.000000
0.5,20.0,0.0,optimized_aggressive,-14.193313,14.193313,2.628457,12.041199,-9.412742,-15.418429,15.418429,3.178389,-8.862810,-18.588326,-12.041199,0.365273,0.000000,1.000000
0.5,25.0,0.0,uniform,-11.934053,11.934053,0.000000,0.000000,0.000000,-12.516168,12.516168,0.000000,0.000000,-15.403772,0.000000,1.000000,1.000000,1.000000
0.5,25.0,0.0,unit_cosine,-10.893214,10.893214,-1.040839,4.899175,-5.940013,-12.231196,12.231196,-0.284972,-5.184147,-15.453796,-4.899175,0.706905,0.249431,0.998383
0.5,25.0,0.0,unit_cosine_hamming,-5.520479,5.520479,-6.413574,15.048392,-21.461967,-5.831754,5.831754,-6.684414,-21.732807,-9.608418,-15.048392,0.219143,0.019954,0.998383
0.5,25.0,0.0,optimized_dbc_margin,-14.067898,14.067898,2.133845,2.586969,-0.453124,-14.995393,14.995393,2.479225,-0.107745,-17.198742,-2.586969,0.747255,0.000000,1.000000
0.5,25.0,0.0,optimized_table,-13.872635,13.872635,1.938582,6.020602,-4.082020,-15.308914,15.308914,2.792746,-3.227857,-18.163104,-6.020602,0.568370,0.000000,1.000000
0.5,25.0,0.0,optimized_aggressive,-12.486677,12.486677,0.552624,12.041200,-11.488575,-14.693018,14.693018,2.176849,-9.864350,-18.636171,-12.041200,0.348604,0.000000,1.000000
0.5,29.999999999999996,0.0,uniform,-12.080741,12.080741,0.000000,0.000000,0.000000,-13.017971,13.017971,0.000000,0.000000,-15.340450,0.000000,1.000000,1.000000,1.000000
0.5,29.999999999999996,0.0,unit_cosine,-10.980184,10.980184,-1.100557,6.396012,-7.496569,-12.367130,12.367130,-0.650842,-7.046854,-15.816290,-6.396012,0.677604,0.206939,0.985518
0.5,29.999999999999996,0.0,unit_cosine_hamming,-5.461908,5.461908,-6.618832,16.576129,-23.194962,-5.831876,5.831876,-7.186095,-23.762224,-9.496270,-16.576129,0.210060,0.016555,0.985518
0.5,29.999999999999996,0.0,optimized_dbc_margin,-13.747226,13.747226,1.666485,2.475200,-0.808715,-14.882269,14.882269,1.864297,-0.610903,-16.972380,-2.475200,0.748617,0.000000,1.000000
0.5,29.999999999999996,0.0,optimized_table,-14.047063,14.047063,1.966322,6.020619,-4.054297,-14.762183,14.762183,1.744212,-4.276407,-17.600198,-6.020619,0.560709,0.000000,1.000000
0.5,29.999999999999996,0.0,optimized_aggressive,-13.392546,13.392546,1.311805,12.041206,-10.729401,-14.879704,14.879704,1.861733,-10.179473,-18.477518,-12.041206,0.356209,0.000000,1.000000
1.0,-29.999999999999996,0.0,uniform,-9.004806,9.004806,0.000000,0.000000,0.000000,-10.689499,10.689499,0.000000,0.000000,-13.171299,0.000000,1.000000,1.000000,1.000000
1.0,-29.999999999999996,0.0,unit_cosine,-6.899147,6.899147,-2.105660,6.490918,-8.596577,-9.116951,9.116951,-1.572547,-8.063465,-11.532339,-6.490918,0.677604,0.206939,0.985518
1.0,-29.999999999999996,0.0,unit_cosine_hamming,-7.086742,7.086742,-1.918064,16.654701,-18.572765,-7.406150,7.406150,-3.283349,-19.938050,-9.459238,-16.654701,0.210060,0.016555,0.985518
1.0,-29.999999999999996,0.0,optimized_dbc_margin,-11.560778,11.560778,2.555972,1.559892,0.996080,-13.398996,13.398996,2.709497,1.149605,-14.867230,-1.559892,0.806619,0.000000,1.000000
1.0,-29.999999999999996,0.0,optimized_table,-13.442590,13.442590,4.437783,6.020613,-1.582830,-14.763724,14.763724,4.074225,-1.946388,-16.177374,-6.020613,0.542973,0.000000,1.000000
1.0,-29.999999999999996,0.0,optimized_aggressive,-12.779311,12.779311,3.774504,12.041199,-8.266695,-14.950307,14.950307,4.260808,-7.780391,-16.398211,-12.041199,0.342138,0.000000,1.000000
1.0,-25.0,0.0,uniform,-9.185426,9.185426,0.000000,0.000000,0.000000,-10.928359,10.928359,0.000000,0.000000,-12.797759,0.000000,1.000000,1.000000,1.000000
1.0,-25.0,0.0,unit_cosine,-6.767685,6.767685,-2.417741,5.192389,-7.610130,-8.594331,8.594331,-2.334027,-7.526416,-11.189508,-5.192389,0.706905,0.249431,0.998383
1.0,-25.0,0.0,unit_cosine_hamming,-6.343415,6.343415,-2.842012,15.384664,-18.226676,-6.779034,6.779034,-4.149325,-19.533988,-9.183459,-15.384664,0.219143,0.019954,0.998383
